borough,no_crimes_2008,no_crimes_2009,no_crimes_2010,no_crimes_2011,no_crimes_2012,no_crimes_2013,no_crimes_2014,no_crimes_2015,no_crimes_2016
Barking and Dagenham,17656,17713,17130,16686,15990,15759,15426,16346,16741
Barnet,23944,23449,23416,24007,23573,22510,22572,24036,24684
Bexley,15305,14445,13166,11325,11669,11552,11844,11990,12840
Brent,23504,24748,25512,27669,26357,23759,24426,24883,26693
Bromley,24015,21858,19572,19868,19622,18945,19668,20637,20164
Camden,32010,31612,31804,33956,31472,28435,27198,29477,29183
City of London,0,0,0,69,157,110,115,151,178
Croydon,29516,29784,29373,29830,30189,27444,27357,28089,28712
Ealing,28947,28617,31360,29537,28832,25917,24978,26247,27127
Enfield,21980,21147,20808,21041,21069,21574,21700,22076,22485
Greenwich,22010,19851,18626,18552,20028,18948,19894,20929,22730
Hackney,22004,20718,20175,21395,27095,25633,24893,26941,28265
Hammersmith and Fulham,21114,21211,21941,22151,21030,18605,19185,19848,20174
Haringey,25724,23704,22156,23179,23231,20705,22773,24626,27174
Harrow,13774,13948,13945,12801,12803,11914,11909,12601,13153
Havering,15395,14538,14957,15496,15965,15089,14734,15870,16903
Hillingdon,24318,24605,23421,24282,22103,20248,23128,23234,24341
Hounslow,20204,19783,19665,21105,22724,19749,20005,21286,22251
Islington,26273,25485,24693,24980,26268,23784,24679,27032,27092
Kensington and Chelsea,20663,18742,19481,19146,19757,17702,17840,19070,19580
Kingston upon Thames,10661,10163,10171,10155,9956,9191,9288,9738,9983
Lambeth,31717,31225,31671,33224,33473,31868,31765,33164,34071
Lewisham,27054,25182,24532,24201,23652,22074,21101,23437,23904
Merton,13875,13561,13595,13548,12856,11595,11596,12273,12755
Newham,29752,28610,30728,27978,30067,27577,28005,29217,30090
Redbridge,20873,20837,20652,21994,21424,19793,19590,18897,19502
Richmond upon Thames,11106,10618,10601,10896,11168,10439,10456,10413,11074
Southwark,33470,30623,31320,30723,30737,31128,28912,30260,31636
Sutton,12943,12240,12032,11068,10948,10057,10443,10598,10658
Tower Hamlets,23578,21959,23072,24712,26784,26258,25504,27493,29253
Waltham Forest,24080,24761,24818,23714,22647,21903,20271,20969,20716
Wandsworth,23330,23021,22815,21384,24457,22290,21364,22401,23679
Westminster,47846,48456,48116,54243,59226,53852,47564,47395,48330
