borough,year,major_category,rank_per_borough,no_of_incidents
Westminster,2008,Theft and Handling,1,29266
Westminster,2008,Violence Against the Person,2,6697
Westminster,2008,Drugs,3,4075
Westminster,2008,Burglary,4,2962
Westminster,2008,Criminal Damage,5,2599
Westminster,2008,Robbery,6,1327
Westminster,2008,Other Notifiable Offences,7,588
Westminster,2008,Fraud or Forgery,8,273
Westminster,2008,Sexual Offences,9,59
Westminster,2009,Theft and Handling,1,29967
Westminster,2009,Violence Against the Person,2,7053
Westminster,2009,Drugs,3,3894
Westminster,2009,Burglary,4,2957
Westminster,2009,Criminal Damage,5,2564
Westminster,2009,Robbery,6,1410
Westminster,2009,Other Notifiable Offences,7,611
Westminster,2009,Sexual Offences,8,0
Westminster,2009,Fraud or Forgery,8,0
Westminster,2010,Theft and Handling,1,29191
Westminster,2010,Violence Against the Person,2,7127
Westminster,2010,Drugs,3,4632
Westminster,2010,Burglary,4,2682
Westminster,2010,Criminal Damage,5,2385
Westminster,2010,Robbery,6,1439
Westminster,2010,Other Notifiable Offences,7,660
Westminster,2010,Sexual Offences,8,0
Westminster,2010,Fraud or Forgery,8,0
Westminster,2011,Theft and Handling,1,33529
Westminster,2011,Violence Against the Person,2,7432
Westminster,2011,Drugs,3,5670
Westminster,2011,Burglary,4,2900
Westminster,2011,Criminal Damage,5,2246
Westminster,2011,Robbery,6,1814
Westminster,2011,Other Notifiable Offences,7,652
Westminster,2011,Sexual Offences,8,0
Westminster,2011,Fraud or Forgery,8,0
Westminster,2012,Theft and Handling,1,38152
Westminster,2012,Violence Against the Person,2,7130
Westminster,2012,Drugs,3,4654
Westminster,2012,Burglary,4,4083
Westminster,2012,Robbery,5,2312
Westminster,2012,Criminal Damage,6,2254
Westminster,2012,Other Notifiable Offences,7,641
Westminster,2012,Sexual Offences,8,0
Westminster,2012,Fraud or Forgery,8,0
Westminster,2013,Theft and Handling,1,33868
Westminster,2013,Violence Against the Person,2,6887
Westminster,2013,Drugs,3,4151
Westminster,2013,Burglary,4,3906
Westminster,2013,Robbery,5,2198
Westminster,2013,Criminal Damage,6,2080
Westminster,2013,Other Notifiable Offences,7,762
Westminster,2013,Sexual Offences,8,0
Westminster,2013,Fraud or Forgery,8,0
Westminster,2014,Theft and Handling,1,28144
Westminster,2014,Violence Against the Person,2,8432
Westminster,2014,Burglary,3,3435
Westminster,2014,Drugs,4,2804
Westminster,2014,Criminal Damage,5,2016
Westminster,2014,Robbery,6,1933
Westminster,2014,Other Notifiable Offences,7,800
Westminster,2014,Sexual Offences,8,0
Westminster,2014,Fraud or Forgery,8,0
Westminster,2015,Theft and Handling,1,27980
Westminster,2015,Violence Against the Person,2,9856
Westminster,2015,Burglary,3,3152
Westminster,2015,Drugs,4,2102
Westminster,2015,Criminal Damage,5,2082
Westminster,2015,Robbery,6,1497
Westminster,2015,Other Notifiable Offences,7,726
Westminster,2015,Sexual Offences,8,0
Westminster,2015,Fraud or Forgery,8,0
Westminster,2016,Theft and Handling,1,27520
Westminster,2016,Violence Against the Person,2,10834
Westminster,2016,Burglary,3,3218
Westminster,2016,Criminal Damage,4,2179
Westminster,2016,Drugs,5,2049
Westminster,2016,Robbery,6,1822
Westminster,2016,Other Notifiable Offences,7,708
Westminster,2016,Sexual Offences,8,0
Westminster,2016,Fraud or Forgery,8,0
